Funnel Performance Pivot,,,,,,,
Initiated,Submitted,SBDU Verified,DLIC Approved,BHD Verified,Bank Sanctioned,Disbursed,
9000,8440,6495,5731,3161,2230,1764,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
District Name,Initiated,Submitted,SBDU Verified,DLIC Approved,BHD Verified,Bank Sanctioned,Disbursed
Anantnag,435,412,304,271,153,110,95
Bandipora,469,431,346,309,163,120,88
Baramulla,436,415,314,279,146,110,86
Budgam,456,425,316,280,154,117,99
Doda,467,434,348,307,185,127,101
Ganderbal,446,422,321,283,133,113,88
Jammu,463,436,330,292,148,115,94
Kathua,444,426,318,269,164,96,77
Kishtwar,418,383,287,250,154,93,74
Kulgam,399,376,285,250,135,99,76
Kupwara,439,411,309,268,154,101,76
Poonch,480,457,374,333,190,122,98
Pulwama,472,447,351,301,166,106,85
Rajouri,446,413,328,290,155,117,89
Ramban,452,423,319,276,169,115,94
Reasi,456,434,334,300,166,123,102
Samba,458,428,325,277,163,108,82
Shopian,473,446,339,309,167,128,97
Srinagar,441,414,322,297,130,110,85
Udhampur,450,407,325,290,166,100,78
Grand Total,9000,8440,6495,5731,3161,2230,1764
