District-Level Day Wise performance,,,,,
SUM of Bank Disbursed Flag,Cleaned Gender,,,,
District Name,Female,Male,NA,Other,Grand Total
Anantnag,29,29,20,17,95
Bandipora,22,26,17,23,88
Baramulla,32,26,16,12,86
Budgam,32,30,19,18,99
Doda,37,35,15,14,101
Ganderbal,37,18,15,18,88
Jammu,29,30,16,19,94
Kathua,20,25,16,16,77
Kishtwar,24,27,13,10,74
Kulgam,28,22,11,15,76
Kupwara,21,27,13,15,76
Poonch,42,33,11,12,98
Pulwama,34,27,17,7,85
Rajouri,30,39,7,13,89
Ramban,29,33,24,8,94
Reasi,42,27,18,15,102
Samba,27,31,15,9,82
Shopian,40,28,16,13,97
Srinagar,27,35,11,12,85
Udhampur,23,28,12,15,78
Grand Total,605,576,302,281,1764
