Application ID,Cleaned District Name,Gender,Cleaned Gender,Residential Type,Cleaned Residential Type,Specially Abled Type,Cleaned Specially Abled Type,Enterprise Type,Cleaned Enterprise Type,Sector,Cleaned Sector,IFSC Code,Application Date,Cleaned Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Cleaned Days_to_BHD_Verification,Days_to_SBDU_Verification,Cleaned Days_to_SBDU_Verification,Days_to_DLIC_Approval,Cleaned Days_to_DLIC_Approval,Days_to_Bank_Sanction,Cleaned Days_to_Bank_Sanction,Days_to_Disbursement,Cleaned Days_to_Disbursement,Total_TAT_Days,Cleaned Total_TAT_Days,Loan Amount (Mixed Units),Cleaned Loan Amount (Mixed Units),Project Cost (Mixed Units),Project Cost,Applicant_Monthly_Income,Cleaned Applicant_Monthly_Income,Loan_Tenure_Months,Clean Loan_Tenure_Months,Interest_Rate_%,Clean Interest_Rate_%,EMI_Amount,Clean EMI_Amount,EMI_to_Income_Ratio,Clean EMI_to_Income_Ratio,Risk_Score,Clean Risk_Score,Credit_Eligibility_Score,Clean Credit_Eligibility_Score,Repayment_Status,Clean Repayment_Status,Days_Overdue
0,Ganderbal,,NA,Rural,Rural,Hearing,Hearing,Nano Entrepreneur,Nano Entrepreneur,IT,IT,JKBK074274,As on Feb 2026,Feb 2026,1,1,0,0,0,0,0,14,14,9,9,32,32,8,8,15,15,78,78,"$6,914","₹622,260.00",3298k INR,"₹3,298,000.00",66090,66090,24,24,6.89,6.89,,NA,,NA,44,44,0.29,0.29,late,Late,0
1,Kupwara,male,Male,Urban,Urban,Locomotor,Locomotor,MSME Sunrise Sector,Msme Sunrise Sector,Manufacturing,Manufacturing,JKBK061718,,NA,1,1,0,0,0,0,0,39,39,17,17,54,54,104,104,45,45,259,259,5670705,"₹5,670,705.00",656k INR,"₹656,000.00",16201,16201,24,24,12.27,12.27,,NA,,NA,74,74,0.02,0.02,ONTIME,On-Time,0
2,Kathua,Female,Female,Urban,Urban,,Na,MSME Sunrise Sector,Msme Sunrise Sector,IT,IT,JKBK083305,2023-07-26,Jul 2023,1,1,0,0,0,0,0,5,5,5,5,30,30,,NA,26,26,,NA,"$5,045","₹454,050.00","$59,056","₹5,315,040.00",20911,20911,48,48,8.15,8.15,,NA,,NA,66,66,0.05,0.05,ONTIME,On-Time,0
3,Doda,Female,Female,rural,Rural,Hearing,Hearing,nano entrepreneur,Nano Entrepreneur,Retail,Retail,JKBK081014,2026-11-22,Nov 2026,1,1,0,1,1,1,0,25,25,16,16,34,34,27,27,10,10,112,112,3029k INR,"₹3,029,000.00",₹3328529,"₹3,328,529.00",92788,92788,48,48,8.92,8.92,32399,32399,0.349,0.349,8,8,0.31,0.31,,NA,0
4,Shopian,male,Male,,NA,Multiple,Multiple,nano entrepreneur,Nano Entrepreneur,Tourism,Tourism,JKBK021968,7/6/2021,Jul 2021,1,1,0,1,1,1,1,4,4,16,16,54,54,16,16,5,5,95,95,₹1817953,"₹1,817,953.00",3917k INR,"₹3,917,000.00",24436,24436,60,60,11.17,11.17,4175,4175,0.171,0.171,39,39,0.87,0.87,late,Late,0
5,Baramulla,Other,Other,rural,Rural,Locomotor,Locomotor,Nano Entrepreneur,Nano Entrepreneur,,NA,JKBK017820,,NA,1,1,0,1,1,1,1,38,38,87,87,38,38,68,68,44,44,275,275,3473011,"₹3,473,011.00",₹6295808,"₹6,295,808.00",116015,116015,24,24,7.57,7.57,23602,23602,0.203,0.203,20,20,0.5,0.5,Delayed,Delayed,0
6,Bandipora,male,Male,Rural,Rural,Locomotor,Locomotor,Existing enterprise,Existing Enterprise,Tourism,Tourism,JKBK084740,,NA,1,1,1,1,1,0,0,32,32,5,5,5,5,25,25,27,27,94,94,,₹0.00,2475k INR,"₹2,475,000.00",107993,107993,36,36,13.41,13.41,,NA,,NA,,NA,0.76,0.76,ONTIME,On-Time,0
7,Rajouri,Other,Other,urban,Urban,NA,Na,nano entrepreneur,Nano Entrepreneur,Healthcare,Healthcare,JKBK027962,,NA,1,1,0,1,1,0,0,23,23,38,38,30,30,98,98,32,32,221,221,₹4577776,"₹4,577,776.00",2045013,"₹2,045,013.00",109721,109721,18,18,14.26,14.26,,NA,,NA,77,77,0.76,0.76,,NA,170
8,Ramban,Female,Female,urban,Urban,Multiple,Multiple,,NA,Services,Services,JKBK092433,,NA,1,1,0,1,1,1,1,40,40,54,54,45,45,81,81,44,44,264,264,3235082,"₹3,235,082.00","$11,199","₹1,007,910.00",113085,113085,60,60,9.57,9.57,30829,30829,0.273,0.273,49,49,0.71,0.71,On-time,NA,74
9,Doda,,NA,Rural,Rural,Multiple,Multiple,Existing Enterprise,Existing Enterprise,IT,IT,JKBK080279,As on Feb 2026,Feb 2026,1,1,1,0,0,0,0,9,9,59,59,,NA,33,33,41,41,,NA,3785k INR,"₹3,785,000.00",4529996,"₹4,529,996.00",36496,36496,12,12,8.67,8.67,,NA,,NA,19,19,0.85,0.85,Delayed,Delayed,0
