Application ID,District Name,Gender,Residential Type,Specially Abled Type,Enterprise Type,Sector,IFSC Code,Application Date,Initiated Flag,Submitted Flag,Verified by BHD Flag,Verified by SBDU Flag,Approved by DLIC Flag,Bank Sanctioned Flag,Bank Disbursed Flag,Days_to_BHD_Verification,Days_to_SBDU_Verification,Days_to_DLIC_Approval,Days_to_Bank_Sanction,Days_to_Disbursement,Total_TAT_Days,Loan Amount (Mixed Units),Project Cost (Mixed Units),Applicant_Monthly_Income,Loan_Tenure_Months,Interest_Rate_%,EMI_Amount,EMI_to_Income_Ratio,Risk_Score,Credit_Eligibility_Score,Repayment_Status,Days_Overdue
0,Ganderbal,,Rural,Hearing,Nano Entrepreneur,IT,JKBK074274,As on Feb 2026,1,1,0,0,0,0,0,14.0,9.0,32.0,8.0,15.0,78.0,$6914,3298k INR,66090.0,24.0,6.89,,,44.0,0.29,late,0
1,Kupwara,male ,Urban,Locomotor,MSME Sunrise Sector,Manufacturing,JKBK061718,,1,1,0,0,0,0,0,39.0,17.0,54.0,104.0,45.0,259.0,5670705,656k INR,16201.0,24.0,12.27,,,74.0,0.02,ONTIME,0
2,Kathua,Female,Urban,,MSME Sunrise Sector,IT,JKBK083305,2023-07-26,1,1,0,0,0,0,0,5.0,5.0,30.0,,26.0,,$5045,$59056,20911.0,48.0,8.15,,,66.0,0.05,ONTIME,0
3,Doda,Female,rural,Hearing,nano entrepreneur,Retail,JKBK081014,2026-11-22,1,1,0,1,1,1,0,25.0,16.0,34.0,27.0,10.0,112.0,3029k INR,₹3328529,92788.0,48.0,8.92,32399.0,0.349,8.0,0.31,,0
4,Shopian,male ,,Multiple,nano entrepreneur,Tourism,JKBK021968,7/6/2021,1,1,0,1,1,1,1,4.0,16.0,54.0,16.0,5.0,95.0,₹1817953,3917k INR,24436.0,60.0,11.17,4175.0,0.171,39.0,0.87,late,0
5,Baramulla,Other,rural,Locomotor,Nano Entrepreneur,,JKBK017820,,1,1,0,1,1,1,1,38.0,87.0,38.0,68.0,44.0,275.0,3473011,₹6295808,116015.0,24.0,7.57,23602.0,0.203,20.0,0.5,Delayed,0
6,Bandipora,male ,Rural,Locomotor,Existing enterprise,Tourism,JKBK084740,,1,1,1,1,1,0,0,32.0,5.0,5.0,25.0,27.0,94.0,,2475k INR,107993.0,36.0,13.41,,,,0.76,ONTIME,0
7,Rajouri,Other,urban ,NA,nano entrepreneur,Healthcare,JKBK027962,,1,1,0,1,1,0,0,23.0,38.0,30.0,98.0,32.0,221.0,₹4577776,2045013,109721.0,18.0,14.26,,,77.0,0.76,,170
8,Ramban,Female,urban ,Multiple,,Services,JKBK092433,,1,1,0,1,1,1,1,40.0,54.0,45.0,81.0,44.0,264.0,3235082,$11199,113085.0,60.0,9.57,30829.0,0.273,49.0,0.71,On-time,74
9,Doda,,Rural,Multiple,Existing Enterprise,IT,JKBK080279,As on Feb 2026,1,1,1,0,0,0,0,9.0,59.0,,33.0,41.0,,3785k INR,4529996,36496.0,12.0,8.67,,,19.0,0.85,Delayed,0
